Name,State,Latitude,Longitude
Ennis,MT,45.3462,-111.732
Enterprise,OR,45.4258,-117.279
Ephraim,UT,39.3563,-111.585
Erie,PA,42.1167,-80.0733
Escanaba,MI,45.7477,-87.09
Essex,MT,48.2823,-113.609
Eudora,KS,38.9345,-95.0956
Eufaula,AL,31.9102,-85.1505
Eugene,OR,44.0564,-123.117
Eureka,CA,40.7943,-124.156
Eureka,KS,37.8261,-96.289
Eureka,MT,48.879,-115.049
Eureka,SD,45.7707,-99.6207
Evanston,WY,41.2602,-110.965
Evansville,IN,37.9881,-87.5341
Exmore,VA,37.5295,-75.8283
Fairfield Glade,TN,36.0028,-84.8711
Fairfield,CA,38.2583,-122.034
Fairmont,MN,43.6441,-94.4621
Fairview,OK,36.2705,-98.4769
Faith,SD,45.0258,-102.036
Falfurrias,TX,27.2243,-98.1452
Fallbrook,CA,33.3693,-117.226
Falls City,NE,40.0623,-95.5989
Falls City,TX,28.9822,-98.0217
Fargo,ND,46.8651,-96.8292
Farmington,IA,40.6389,-91.7392
Farmington,MO,37.7822,-90.4282
Farmington,NM,36.7555,-108.182
Farmville,VA,37.2959,-78.4002
Fayetteville,AR,36.0714,-94.1661
Fayetteville,NC,35.085,-78.9772
Felsenthal,AR,33.0588,-92.1533
Fergus Falls,MN,46.2854,-96.0758
Fernley,NV,39.5627,-119.191
Fertile,MN,47.5339,-96.2893
Flagler,CO,39.2948,-103.076
Flagstaff,AZ,35.1872,-111.619
Flint,MI,43.0236,-83.6921
Florence,AL,34.8303,-87.6655
Florence,OR,43.9916,-124.106
Florence,SC,34.178,-79.7898
Florissant,CO,38.9445,-105.29
Fond du Lac,WI,43.7718,-88.4397
Forest,MS,32.3595,-89.4761
Forrest City,AR,35.0135,-90.7931
Forrest,IL,40.7511,-88.4096
Fort Belknap Agency,MT,48.4278,-108.683
Fort Collins,CO,40.5477,-105.066
Fort Dodge,IA,42.5098,-94.1751
Fort Hancock,TX,31.2837,-105.845
Fort Morgan,CO,40.2537,-103.79
Fort Smith,AR,35.3495,-94.3695
Fort Stockton,TX,30.8926,-102.884
Fort Totten,ND,47.9716,-98.9971
Fort Wayne,IN,41.0888,-85.1436
Fort Worth,TX,32.7817,-97.3474
Fosston,MN,47.5856,-95.7577
Fostoria,OH,41.16,-83.4121
Frankfort,MI,44.6361,-86.2332
Franklin,LA,29.7851,-91.5098
Frazier Park,CA,34.8118,-118.955
Fredericksburg,VA,38.2992,-77.4872
Freeport,IL,42.2891,-89.6346
Freer,TX,27.8823,-98.6178
Fresno,CA,36.783,-119.794
Fripp Island,SC,32.3231,-80.4789
Front Royal,VA,38.926,-78.1838
Furman,SC,32.6813,-81.1877
Gaffney,SC,35.0743,-81.6552
Gainesville,FL,29.6804,-82.3459
Gainesville,TX,33.639,-97.1487
Galesburg,IL,40.9506,-90.3763
Galveston,TX,29.2484,-94.8913
Garden City,KS,37.9753,-100.853
Geneva,NY,42.8645,-76.9826
Gettysburg,SD,45.006,-99.9539
Gibson,GA,33.2334,-82.5959
Gildford,MT,48.5738,-110.307
Gillette,WY,44.2752,-105.498
Glasgow,KY,37.0048,-85.9263
Glasgow,MT,48.199,-106.632
Glendive,MT,47.1101,-104.707
Glens Falls,NY,43.3109,-73.6458
Gloversville,NY,43.0491,-74.3465
Gold Beach,OR,42.3974,-124.417
Gonzales,TX,29.5126,-97.4472
Goodland,KS,39.3489,-101.714
Goodwater,AL,33.0608,-86.0516
Gordon,NE,42.8064,-102.204
Graham,TX,33.1017,-98.5779
Granby,CO,40.0647,-105.919
Grand Canyon Village,AZ,36.0474,-112.162
Grand Forks,ND,47.9214,-97.0884
Grand Junction,CO,39.0877,-108.567
Grand Marais,MN,47.7588,-90.3445
Grand Rapids,MI,42.9619,-85.6562
Grandview,TX,32.2685,-97.1775
Grangeville,ID,45.926,-116.122
Granite,OR,44.81,-118.419
Grantsville,UT,40.6148,-112.478
Grass Valley,CA,39.2238,-121.052
Great Bend,KS,38.3593,-98.8015
Great Falls,MT,47.5022,-111.3
Greenville,AL,31.8437,-86.638
Greenville,MS,33.385,-91.0514
Greenville,NC,35.5943,-77.376
Greenville,SC,34.8354,-82.3646
Greenville,TX,33.1116,-96.1099
Greenwood,MS,33.5126,-90.1993
Greenwood,SC,34.1947,-82.1542
Griffin,GA,33.2418,-84.2748
Groesbeck,TX,31.5259,-96.5284
Grover,CO,40.8691,-104.226
Grygla,MN,48.2996,-95.6238
Gulfport,MS,30.4274,-89.0704
Gunnison,CO,38.548,-106.925
Guymon,OK,36.6903,-101.477
Hachita,NM,31.9153,-108.325
Hackensack,MN,46.927,-94.5161
Hagerstown,MD,39.6401,-77.7217
Hallock,MN,48.7659,-96.9427
Hamilton,AL,34.1346,-87.9755
Hamilton,MT,46.2527,-114.16
Hamilton,TX,31.6997,-98.1208
Hammond,LA,30.5061,-90.4563
Hampton Bays,NY,40.8695,-72.5225
Hanna,WY,41.8697,-106.56
Hanska,MN,44.1487,-94.4945
Happy Camp,CA,41.8104,-123.389
Hardin,MT,45.7422,-107.608
Hardy,MT,47.1806,-111.817
Harlan,KY,36.8433,-83.3184
Harlowton,MT,46.4368,-109.835
Harrisburg,IL,37.7374,-88.5457
Harrisburg,PA,40.2752,-76.8843
Harrison,AR,36.2438,-93.1198
Harrison,NE,42.6879,-103.883
Hartford,CT,41.7661,-72.6834
Hartsville,TN,36.3921,-86.1568
Harvey,ND,47.7766,-99.9301
Hattiesburg,MS,31.3074,-89.317
Havre,MT,48.5427,-109.68
Hawkinsville,GA,32.2965,-83.4815
Hays,KS,38.8821,-99.3221
Hayward,WI,46.0094,-91.4826
Hebbronville,TX,27.3251,-98.6857
Hebron,NE,40.1685,-97.5866
Helena,MT,46.5965,-112.02
Hepburn,IA,40.8476,-95.0166
Heppner,OR,45.3547,-119.556
Hereford,TX,34.8225,-102.4
Herington,KS,38.6862,-96.8669
Heritage Lake,IN,39.7288,-86.7122
Hibbing,MN,47.398,-92.9486
Hickory,NC,35.741,-81.3223
Higgins,TX,36.121,-100.027
Highland,IL,38.7602,-89.6812
Highmore,SD,44.5214,-99.4394
Hillsboro,ND,47.403,-97.0635
Hillsboro,OH,39.2123,-83.6113
Hobbs,NM,32.7281,-103.16
Hohenwald,TN,35.5515,-87.5539
Holyoke,CO,40.582,-102.297
Hornell,NY,42.3333,-77.6633
Hot Springs,AR,34.4892,-93.0501
Hot Springs,MT,47.6091,-114.671
Hot Springs,SD,43.4195,-103.466
Houghton,MI,47.1118,-88.5675
Houma,LA,29.58,-90.7059
House,NM,34.6492,-103.904
Houston,MO,37.3212,-91.961
Houston,TX,29.786,-95.3885
Howell,UT,41.7733,-112.445
Hoxie,KS,39.3558,-100.44
Huntington,WV,38.4109,-82.4345
Huntsville,AL,34.6981,-86.6412
Huron,SD,44.3623,-98.2094
Hutchinson,KS,38.0671,-97.9081
Hutchinson,MN,44.8855,-94.3768
Hyannis,NE,42.0006,-101.762
Idabel,OK,33.904,-94.8285
Idaho Falls,ID,43.4871,-112.036
Imlay City,MI,43.0171,-83.0771
Immokalee,FL,26.4253,-81.4251
Imperial,NE,40.5145,-101.637
Indianapolis,IN,39.7771,-86.1458
Indio,CA,33.7346,-116.235
International Falls,MN,48.5884,-93.4084
Iola,KS,37.9274,-95.4006
Ionia,MI,42.9773,-85.0727
Ipswich,SD,45.4435,-99.03
Iron Mountain,MI,45.8275,-88.0599
Iron River,WI,46.5671,-91.4069
Ironwood,MI,46.4522,-90.1505
Jackpot,NV,41.9797,-114.665
Jackson,MN,43.6265,-94.9891
Jackson,MS,32.3157,-90.2125
Jackson,TN,35.6538,-88.8354
Jackson,WY,43.472,-110.775
Jacksonville,FL,30.3322,-81.6749
Jacksonville,IL,39.7292,-90.2317
Jacksonville,NC,34.7289,-77.3941
Jal,NM,32.1148,-103.19
Jamestown,ND,46.9063,-98.6937
Jamestown,NY,42.0976,-79.2367
Jasper,IN,38.3933,-86.9402
Jasper,TX,30.9221,-93.9947
Jay,OK,36.4271,-94.7956
Jayton,TX,33.2502,-100.575
Jeffersonville,NY,41.7799,-74.9298
Jeffrey City,WY,42.4809,-107.826
Jemison,AL,32.9696,-86.7339
Jennings,LA,30.2233,-92.6582
John Day,OR,44.4181,-118.956
Johnson City,TN,36.3406,-82.3806
Johnstown,PA,40.326,-78.9194
Jonesboro,AR,35.8212,-90.6791
Jonesport,ME,44.5338,-67.6152
Joplin,MO,37.0757,-94.5018
Jordan Valley,OR,42.9793,-117.057
Jourdanton,TX,28.9141,-98.5409
Junction,TX,30.4906,-99.7726
Kaka,AZ,32.5113,-112.317
Kalamazoo,MI,42.2749,-85.5882
Kalispell,MT,48.2153,-114.327
Kane,IL,39.1905,-90.3512
Kankakee,IL,41.102,-87.8643
Kansas City,MO,39.1238,-94.5541
Kearney,NE,40.7011,-99.0833
Keene,NH,42.9494,-72.2998
Kellogg,ID,47.5371,-116.142
Kennewick,WA,46.1978,-119.173
Kewaunee,WI,44.4607,-87.5132
Key West,FL,24.5642,-81.7775
Kiester,MN,43.5365,-93.7111
Kill Devil Hills,NC,36.0167,-75.6699
Killeen,TX,31.0753,-97.7297
Kimball,NE,41.2335,-103.651
Kingsland,TX,30.6651,-98.4545
Kingstree,SC,33.6665,-79.8292
Kinsley,KS,37.9224,-99.4114
Kirksville,MO,40.1986,-92.5752
Kit Carson,CO,38.7628,-102.795
Klamath Falls,OR,42.2195,-121.775
Knoxville,TN,35.9692,-83.9496
Kokomo,IN,40.464,-86.1277
Kosciusko,MS,33.0585,-89.5893
Kyle,SD,43.4245,-102.18
La Crosse,WI,43.8241,-91.2268
La Grande,OR,45.3242,-118.087
La Grange,TX,29.9129,-96.8768
Laconia,NH,43.5725,-71.4775
Ladysmith,WI,45.4606,-91.0973
Lafayette,IN,40.3991,-86.8593
Lafayette,LA,30.2082,-92.0325
Lake Andes,SD,43.156,-98.5361
Lake Charles,LA,30.201,-93.2111
Lake City,FL,30.1901,-82.6471
Lake Havasu City,AZ,34.5006,-114.311
Lake Isabella,CA,35.6378,-118.482
Lake Jackson,TX,29.0516,-95.4521
Lake Preston,SD,44.3617,-97.376
Laketown,UT,41.8275,-111.324
Lakota,ND,48.0429,-98.3468
Lamar,CO,38.074,-102.615
Lancaster,CA,34.6935,-118.175
Lancaster,PA,40.042,-76.3012
Langdon,ND,48.7624,-98.3747
Langford,SD,45.6024,-97.8303
Lansing,MI,42.7142,-84.5601
Laramie,WY,41.3099,-105.609
Laredo,TX,27.5625,-99.4874
Las Vegas,NV,36.2333,-115.265
Laurinburg,NC,34.7602,-79.4773
Lawton,OK,34.6175,-98.4202
Leaf,MS,31.0276,-88.798
Lebanon,MO,37.6717,-92.6603
Lebanon,NH,43.6353,-72.2531
Leesburg,VA,39.1057,-77.5544
Lehr,ND,46.2826,-99.3528
Lemmon,SD,45.9383,-102.16
Leona,TX,31.1537,-95.976
Leslie,AR,35.8294,-92.5563
Lewiston,MI,44.8771,-84.3047
Lewiston,MN,43.9824,-91.8694
Lewistown,IL,40.3969,-90.1554
Lewistown,MT,47.0514,-109.452
Lexington,KY,38.0423,-84.4587
Lexington,NE,40.7779,-99.7461
Libby,MT,48.387,-115.556
Liberal,KS,37.0466,-100.93
Liberty,TX,30.0378,-94.7879
Lima,OH,40.741,-84.112
Limon,CO,39.2653,-103.686
Lincoln,MT,46.953,-112.669
Lincoln,NE,40.8099,-96.6784
Lindenhurst,NY,40.6858,-73.371
Linton,ND,46.2685,-100.234
Little Rock,AR,34.7256,-92.3577
Livingston,TX,30.71,-94.9381
Lockesburg,AR,33.9716,-94.1761
Logan,UT,41.7399,-111.842
Loganville,GA,33.8353,-83.8958
London,KY,37.1175,-84.0767
Long Hollow,SD,45.6823,-97.1611
Longview,TX,32.5193,-94.7622
Longview,WA,46.1461,-122.963
Lorain,OH,41.4409,-82.184
Los Angeles,CA,34.1141,-118.407
Louisville,KY,38.1663,-85.6485
Lovelady,TX,31.1279,-95.4456
Lovell,WY,44.8357,-108.392
Lovelock,NV,40.1787,-118.478
Lubbock,TX,33.5657,-101.888
Ludington,MI,43.9573,-86.4434
Ludowici,GA,31.7093,-81.7452
Lufkin,TX,31.3217,-94.7277
Lusk,WY,42.7613,-104.458
Luverne,MN,43.6531,-96.2148
Lynchburg,VA,37.4003,-79.1909
Lyons Falls,NY,43.617,-75.3618
Macon,GA,32.8065,-83.6974
Madison,IN,38.7581,-85.3973
Madison,WI,43.0822,-89.393
Madisonville,KY,37.3409,-87.5034
Madras,OR,44.6483,-121.139
Madrone,NM,34.5792,-106.728
Magnolia,AR,33.2775,-93.2261
Makoti,ND,47.9633,-101.803
Mallory,WV,37.7302,-81.8243
Malta,MT,48.3554,-107.87
Mammoth Lakes,CA,37.6273,-118.99
Mammoth,AZ,32.6853,-110.729
Manchester,IA,42.4854,-91.4557
Manchester,NH,42.9848,-71.4447
Mandaree,ND,47.7358,-102.676
Manhattan,KS,39.1886,-96.6048
Manila,UT,40.9922,-109.721
Mankato,MN,44.1715,-93.9772
Mansfield,OH,40.7656,-82.5275
Manter,KS,37.5245,-101.883
Marienville,PA,41.4687,-79.1181
Marinette,WI,45.0871,-87.6336
Marion,NC,35.6777,-82.0017
Marion,OH,40.5973,-83.1227
Marion,WI,44.6743,-88.8903
Marquette,MI,46.544,-87.4082
Marshall,MN,44.4488,-95.7897
Marshalltown,IA,42.0343,-92.9068
Marshfield,WI,44.6627,-90.1728
Martin,TN,36.3385,-88.8513
Maryville,MO,40.3428,-94.8702
Mason City,IA,43.1487,-93.1997
Mattawamkeag,ME,45.5177,-68.3523
Maunie,IL,38.0355,-88.0456
Maybell,CO,40.5188,-108.088
Maysville,KY,38.6455,-83.7911
McAlester,OK,34.9257,-95.7734
McAllen,TX,26.2252,-98.2467
McCall,ID,44.9076,-116.112
McCamey,TX,31.1325,-102.22
McClellanville,SC,33.0865,-79.468
McClusky,ND,47.484,-100.443
McComb,MS,31.2442,-90.4716
McCook,NE,40.2046,-100.622
McGregor,MN,46.6087,-93.3055
McIntosh,AL,31.2649,-88.0284
McKenney,VA,36.9853,-77.7219
McKinley,MN,47.5088,-92.4057
Meadview,AZ,35.9532,-114.079
Medford,OR,42.3372,-122.854
Medina,ND,46.8938,-99.2999
Meigs,GA,31.0714,-84.0922
Melrose,MN,45.6757,-94.8128
Melvern,KS,38.5073,-95.6377
Memphis,TN,35.1087,-89.9663
Mena,AR,34.5812,-94.2369
Mendota,CA,36.7555,-120.378
Merced,CA,37.3057,-120.478
Meridian,MS,32.3846,-88.6896
Mesquite,NV,36.8032,-114.133
Miami,FL,25.784,-80.2101
Michigan City,IN,41.7092,-86.869
Middletown,NY,41.4459,-74.4236
Milbank,SD,45.2195,-96.6338
Mill City,OR,44.752,-122.478
Millwood,NY,41.1947,-73.7964
Milnor,ND,46.2604,-97.4575
Milwaukee,WI,43.0642,-87.9675
Mina,NV,38.3898,-118.112
Minden,LA,32.6187,-93.2762
Mineral Wells,TX,32.8169,-98.0776
Mineral,CA,40.3755,-121.569
Minneapolis,MN,44.9635,-93.2678
Minor Hill,TN,35.0424,-87.1654
Minot,ND,48.2375,-101.278
Missoula,MT,46.8751,-114.021
Mitchell,OR,44.5703,-120.154
Mitchell,SD,43.7294,-98.0337
Moab,UT,38.5701,-109.548
Mobile,AL,30.6782,-88.1162
Mobridge,SD,45.5409,-100.435
Mohall,ND,48.7661,-101.517
Monett,MO,36.9218,-93.9278
Monroe,LA,32.5185,-92.0774
Montauk,NY,41.0466,-71.9465
Montello,NV,41.2671,-114.197
Monterey,VA,38.4116,-79.5809
Albemarle,NC,35.3594,-80.1915
Barnwell,SC,33.2419,-81.3659
Ainsworth,NE,42.5485,-99.8576
Ada,OK,34.7662,-96.6681
Belhaven,NC,35.5428,-76.6232
Alexandria,LA,31.2923,-92.4702
Anatone,WA,46.1354,-117.132
Albuquerque,NM,35.1054,-106.647
Brownwood,TX,31.7127,-98.9767
Broxton,GA,31.6248,-82.8877
Brunswick,GA,31.1449,-81.4746
Bryce Canyon City,UT,37.6814,-112.159
Buckeye,AZ,33.4314,-112.643
Buckhorn,KY,37.3461,-83.4695
Bucyrus,ND,46.0648,-102.788
Buffalo,NY,42.9018,-78.8487
Buffalo,SD,45.5863,-103.543
Bullhead City,AZ,35.1205,-114.546
Burke,SD,43.1827,-99.2923
Burley,ID,42.5379,-113.793
Burlington,CO,39.3042,-102.271
Burlington,IA,40.8071,-91.1247
Burlington,NC,36.076,-79.4685
Burlington,VT,44.4876,-73.2316
Burney,CA,40.8846,-121.669
Butte,MT,45.902,-112.657
Buxton,NC,35.2511,-75.5475
California,MD,38.2969,-76.4949
Calumet,OK,35.6014,-98.1248
Cameron,MO,39.7444,-94.2329
Campbellsburg,IN,38.6514,-86.2613
Campbellsville,KY,37.3445,-85.3511
Campo,CA,32.6394,-116.474
Camrose Colony,MT,48.3116,-111.612
Cando,ND,48.4872,-99.2026
Canton,OH,40.8078,-81.3676
Canton,TX,32.5546,-95.8641
Cape Coral,FL,26.6443,-81.9957
Cape May Point,NJ,38.9372,-74.9651
Carbondale,IL,37.7221,-89.2237
Carlsbad,NM,32.401,-104.239
Carrabelle,FL,29.8555,-84.6685
Carrington,ND,47.452,-99.1307
Carroll,IA,42.0699,-94.8646
Carrollton,GA,33.5818,-85.0838
Carson,ND,46.4223,-101.571
Carson,WA,45.7354,-121.822
Casper,WY,42.842,-106.321
Castella,CA,41.1549,-122.303
Cedar City,UT,37.6834,-113.096
Cedar Rapids,IA,41.9662,-91.6783
Cedar Rapids,NE,41.5589,-98.1493
Cedar Vale,KS,37.1061,-96.5018
Center,TX,31.793,-94.1795
Chadron,NE,42.826,-103.002
Chamberlain,SD,43.7956,-99.3263
Chamois,MO,38.6763,-91.77
Champaign,IL,40.1142,-88.2737
Charles City,IA,43.0646,-92.6745
Charleston,IL,39.4842,-88.1781
Charleston,SC,32.8168,-79.9687
Charleston,WV,38.3484,-81.6322
Charlotte,NC,35.2083,-80.8303
Charlottesville,VA,38.0375,-78.4855
Chattanooga,TN,35.066,-85.2481
Cheboygan,MI,45.641,-84.4687
Cherry Grove,OR,45.4508,-123.248
Chester,MT,48.5113,-110.966
Chesterfield,SC,34.733,-80.0778
Cheyenne,WY,41.135,-104.79
Chicago,IL,41.8375,-87.6866
Chico,CA,39.7578,-121.816
Chiefland,FL,29.4923,-82.8682
Childress,TX,34.4293,-100.252
Chillicothe,MO,39.7953,-93.5499
Chillicothe,OH,39.3393,-82.9939
Choctaw Lake,OH,39.9609,-83.4874
Choteau,MT,47.8137,-112.179
Cincinnati,OH,39.1413,-84.506
Circle,MT,47.4177,-105.587
Clarendon,TX,34.9366,-100.892
Clark,SD,44.8809,-97.7348
Clarksdale,MS,34.1933,-90.5693
Clarksville,TN,36.5692,-87.3413
Clarksville,VA,36.6171,-78.5638
Clay Center,KS,39.3812,-97.1276
Clay,WV,38.4662,-81.0813
Clayton,NM,36.4426,-103.157
Cle Elum,WA,47.1943,-120.954
Clearmont,WY,44.6397,-106.382
Cleveland,OH,41.4764,-81.6805
Cleveland,OK,36.3008,-96.4635
Clinton,MO,38.3716,-93.7679
Clinton,NC,35.0004,-78.3313
Clovis,NM,34.4376,-103.192
Coal Creek,CO,39.9071,-105.38
Coalinga,CA,36.142,-120.324
Cody,NE,42.9377,-101.249
Cody,WY,44.5213,-109.055
Coeur d'Alene,ID,47.704,-116.794
Colby,KS,39.3848,-101.045
Coldwater,KS,37.2582,-99.3378
Coldwater,MI,41.9465,-84.9989
Coldwater,OH,40.4828,-84.6321
College Station,TX,30.5852,-96.2959
Collinsville,VA,36.7215,-79.9122
Colorado City,AZ,36.9773,-112.987
Annapolis,MD,38.9706,-76.5047
Beckley,WV,37.7877,-81.1841
Bagdad,AZ,34.5771,-113.177
Amery,WI,45.3045,-92.3635
Belle Glade,FL,26.6916,-80.6656
Batavia,NY,42.9987,-78.1802
Alamosa,CO,37.4752,-105.877
Appleton,WI,44.278,-88.3892
Andalusia,AL,31.3102,-86.4781
Bay City,MI,43.5902,-83.8887
Albany,KY,36.6906,-85.1353
Ackley,IA,42.5519,-93.0528
Augusta,GA,33.3645,-82.0708
Alpena,MI,45.074,-83.4402
Bath,WV,39.6247,-78.2275
Baker,MT,46.364,-104.274
Andrews,NC,35.1994,-83.8262
Atlantic City,NJ,39.3797,-74.4527
Bakersfield,CA,35.3529,-119.036
Bangor,ME,44.8323,-68.7906
Alva,OK,36.7895,-98.6649
Baudette,MN,48.7119,-94.5924
Bay City,TX,28.9838,-95.9601
Belle Plaine,IA,41.8954,-92.2751
Alice,TX,27.7556,-98.0653
Apple Canyon Lake,IL,42.4302,-90.1642
Albany,NY,42.6664,-73.7987
Ak-Chin Village,AZ,33.0197,-112.081
Batesville,IN,39.2974,-85.2144
Arnold,NE,41.4231,-100.194
Batesville,AR,35.7687,-91.6227
Athens,GA,33.9508,-83.3689
Beeville,TX,28.4053,-97.749
Akwesasne,NY,44.9647,-74.6664
Ashtabula,OH,41.8805,-80.7984
Alpine,TX,30.364,-103.665
Augusta,ME,44.3341,-69.7319
Ashton,ID,44.0734,-111.448
Bartlesville,OK,36.7365,-95.9456
Alexandria,MN,45.8776,-95.3767
Altus,OK,34.6565,-99.3061
Ann Arbor,MI,42.2759,-83.731
Athens,TN,35.4573,-84.6045
Bad Axe,MI,43.8043,-82.9985
Alamogordo,NM,32.8837,-105.963
Aurora,IL,41.7638,-88.2902
